"produkt","wc_id","fraza","typ","wolumen","cpc_zl","nasz_url_gsc","pozycja_gsc","wyswietlenia_gsc"
"Dolomit","302","dolomit","nazwa","6600","0.36","","","0"
"Dolomit","302","dolomit nawóz","nazwa","880","0.54","/wapnowanie-gleby/","6","1"
"Dolomit","302","dolomit nawozowy","nazwa","10","","","","0"
"Dolomit","302","wapno dolomitowe","nazwa","720","0.52","","","0"
"Dolomit","302","dolomit wapno","nazwa","390","0.48","","","0"
"Dolomit","302","dolomit 25 kg","nazwa","50","1.33","","","0"
"Dolomit","302","dolomit 10 kg","nazwa","40","0.53","","","0"
"Dolomit","302","dolomit mielony","nazwa","40","0.21","","","0"
"Dolomit","302","dolomit na trawnik","nazwa + zastosowanie","590","0.68","","","0"
"Dolomit","302","dolomit do ogrodu","nazwa + zastosowanie","70","0.31","","","0"
"Dolomit","302","dolomit na działkę","nazwa + zastosowanie","10","","","","0"
"Dolomit","302","dolomit dawkowanie","nazwa + dawka","40","","","","0"
"Dolomit","302","dolomit cena","nazwa + cena","140","0.5","","","0"
"Dolomit","302","dolomit cena za tonę","nazwa + cena","90","0.52","","","0"
"Dolomit","302","dolomit nawóz cena","nazwa + cena","10","0.42","","","0"
"Dolomit","302","dolomit na pole","nazwa + zastosowanie","<10","","","","0"
"Dolomit","302","dolomit do sadu","nazwa + zastosowanie","<10","","","","0"
"Dolomit","302","dolomit na warzywa","nazwa + zastosowanie","10","","","","0"
"Dolomit","302","dolomit rolnictwo ekologiczne","nazwa + zastosowanie","<10","","","","0"
"Dolomit","302","dolomit ile na hektar","nazwa + dawka","<10","","","","0"
"Dolomit","302","wapno dolomitowe cena","nazwa + cena","50","0.85","","","0"
"Dolomit","302","siarkopol","producent / zakład","1300","0.8","","","0"
"Dolomit","302","nawóz wapniowo magnezowy","rodzaj ogólny","260","0.83","","","0"
"Dolomit","302","wapno magnezowe","rodzaj ogólny","1900","0.6","/wapnowanie-gleby/","2.5","27"
"Dolomit","302","wapno z magnezem","rodzaj ogólny","210","0.32","/wapnowanie-gleby/","2","2"
"Dolomit","302","dolomit czy wapno","porównania","20","","","","0"
"Dolomit","302","dolomit luzem","nazwa + cena","<10","","","","0"
"Dolomit","302","siarkopol dolomit","producent / zakład","<10","","","","0"
"Dolomit","302","dolomit tarnobrzeg","producent / zakład","<10","","","","0"
"Dolomit","302","dolomit a wapno magnezowe","porównania","<10","","","","0"
"Dolomit","302","dolomit czy kreda","porównania","<10","","","","0"
