"produkt","wc_id","fraza","typ","wolumen","cpc_zl","nasz_url_gsc","pozycja_gsc","wyswietlenia_gsc"
"Kreda czarna (jeziorna)","303","czarna kreda","nazwa","720","0.51","/wapno-nawozowe-rolnictwo/kreda-nawozowa-granulowana/","2","3"
"Kreda czarna (jeziorna)","303","kreda czarna","nazwa","70","0.53","","","0"
"Kreda czarna (jeziorna)","303","kreda jeziorna","nazwa","320","0.64","/wapno-nawozowe-rolnictwo/kreda-czarna-jeziorna/","29.7","3"
"Kreda czarna (jeziorna)","303","czarna kreda granulowana","nazwa","140","0.33","/wapnowanie-gleby/","2","4"
"Kreda czarna (jeziorna)","303","grankal","producent / zakład","110","1.41","","","0"
"Kreda czarna (jeziorna)","303","czarna kreda dawkowanie","nazwa + dawka","20","","","","0"
"Kreda czarna (jeziorna)","303","kreda jeziorna dawkowanie","nazwa + dawka","10","","/wapno-nawozowe-rolnictwo/kreda-czarna-jeziorna/","18","1"
"Kreda czarna (jeziorna)","303","czarna kreda cena","nazwa + cena / forma","70","0.53","/wapno-nawozowe-rolnictwo/kreda-nawozowa-granulowana/","2","1"
"Kreda czarna (jeziorna)","303","kreda czarna jeziorna","nazwa","<10","","","","0"
"Kreda czarna (jeziorna)","303","kreda z kwasami humusowymi","nazwa","<10","","","","0"
"Kreda czarna (jeziorna)","303","czarna kreda z humusem","nazwa","<10","","","","0"
"Kreda czarna (jeziorna)","303","wapno kredowe czarne","nazwa","<10","","","","0"
"Kreda czarna (jeziorna)","303","grankal kreda","producent / zakład","<10","","","","0"
"Kreda czarna (jeziorna)","303","czarna kreda grankal","producent / zakład","<10","","","","0"
"Kreda czarna (jeziorna)","303","grankal draby","producent / zakład","<10","","","","0"
"Kreda czarna (jeziorna)","303","czarna kreda do ogrodu","nazwa + zastosowanie","<10","","","","0"
"Kreda czarna (jeziorna)","303","czarna kreda na trawnik","nazwa + zastosowanie","<10","","","","0"
"Kreda czarna (jeziorna)","303","czarna kreda na pole","nazwa + zastosowanie","<10","","","","0"
"Kreda czarna (jeziorna)","303","ile czarnej kredy na hektar","nazwa + dawka","10","","/wapnowanie-gleby/","8.4","41"
"Kreda czarna (jeziorna)","303","czarna kreda ile na hektar","nazwa + dawka","40","","/wapnowanie-gleby/","9.8","17"
"Kreda czarna (jeziorna)","303","kreda jeziorna cena","nazwa + cena / forma","40","0.49","/wapno-nawozowe-rolnictwo/kreda-nawozowa-granulowana/","2","1"
"Kreda czarna (jeziorna)","303","czarna kreda opinie","opinie / porównania","170","","/wapnowanie-gleby/","3","3"
"Kreda czarna (jeziorna)","303","czarna kreda big bag","nazwa + cena / forma","<10","","","","0"
"Kreda czarna (jeziorna)","303","czarna kreda 25 kg","nazwa + cena / forma","<10","","","","0"
"Kreda czarna (jeziorna)","303","czarna kreda czy wapno","opinie / porównania","<10","","","","0"
"Kreda czarna (jeziorna)","303","kreda czarna czy biała","opinie / porównania","<10","","","","0"
