"produkt","wc_id","fraza","typ","wolumen","cpc_zl","nasz_url_gsc","pozycja_gsc","wyswietlenia_gsc"
"Kreda malarska","304","kreda malarska","nazwa","320","0.39","/kreda-malarska/kreda-malarska/","7.9","86"
"Kreda malarska","304","kreda malarska 30 kg","nazwa","40","0.34","/kreda-malarska/kreda-malarska/","20","1"
"Kreda malarska","304","kreda techniczna","nazwa","90","0.67","","","0"
"Kreda malarska","304","kreda malarska w ogrodnictwie","nazwa + zastosowanie","20","0.11","/kreda-malarska/kreda-malarska/","8.9","24"
"Kreda malarska","304","kreda malarska cena","nazwa + cena","10","0.25","","","0"
"Kreda malarska","304","kreda malarska castorama","nazwa + cena","90","0.53","","","0"
"Kreda malarska","304","kreda malarska gdzie kupić","nazwa + cena","20","0.12","/kreda-malarska/kreda-malarska/","5","1"
"Kreda malarska","304","kreda malarska sypka","nazwa","<10","","","","0"
"Kreda malarska","304","kreda malarska do bielenia","nazwa + zastosowanie","<10","","","","0"
"Kreda malarska","304","kreda malarska do drzew","nazwa + zastosowanie","<10","","","","0"
"Kreda malarska","304","bielenie drzew kredą","nazwa + zastosowanie","<10","","","","0"
"Kreda malarska","304","kreda malarska do ogrodu","nazwa + zastosowanie","<10","","","","0"
"Kreda malarska","304","kreda malarska na ściany","nazwa + zastosowanie","<10","","","","0"
"Kreda malarska","304","kreda malarska do farby","nazwa + zastosowanie","<10","","","","0"
"Kreda malarska","304","kreda malarska na trawnik","nazwa + zastosowanie","<10","","","","0"
"Kreda malarska","304","kreda malarska do malowania","nazwa + zastosowanie","<10","","","","0"
"Kreda malarska","304","kreda malarska proporcje","nazwa + dawka","<10","","","","0"
"Kreda malarska","304","jak rozrobić kredę malarską","nazwa + dawka","<10","","","","0"
"Kreda malarska","304","kreda malarska lhoist","producent","<10","","","","0"
"Kreda malarska","304","kreda do bielenia","rodzaj ogólny","<10","","","","0"
"Kreda malarska","304","kreda pylista","rodzaj ogólny","20","0.42","","","0"
"Kreda malarska","304","mączka kredowa","rodzaj ogólny","<10","","","","0"
"Kreda malarska","304","kreda malarska czy wapno","porównania","<10","","","","0"
"Kreda malarska","304","kreda malarska a wapno do bielenia","porównania","<10","","","","0"
"Kreda malarska","304","kreda malarska a kreda nawozowa","porównania","<10","","","","0"
