"produkt","wc_id","fraza","typ","wolumen","cpc_zl","nasz_url_gsc","pozycja_gsc","wyswietlenia_gsc"
"Kreda nawozowa granulowana","305","kreda nawozowa granulowana","nazwa / marka","140","1.08","/wapno-nawozowe-rolnictwo/kreda-nawozowa-granulowana/","12.4","11"
"Kreda nawozowa granulowana","305","kreda granulowana","nazwa / marka","480","0.86","/wapnowanie-gleby/","2","5"
"Kreda nawozowa granulowana","305","kreda granulowana nawozowa","nazwa / marka","20","0.5","/wapnowanie-gleby/","2","2"
"Kreda nawozowa granulowana","305","wapno kredowe granulowane","nazwa / marka","260","0.46","/wapnowanie-gleby/","2.4","9"
"Kreda nawozowa granulowana","305","kreda nawozowa","nazwa / marka","1000","0.3","/","6","38"
"Kreda nawozowa granulowana","305","kreda rolnicza","nazwa / marka","30","0.87","/wapno-nawozowe-rolnictwo/kreda-nawozowa-granulowana/","33","1"
"Kreda nawozowa granulowana","305","wapniak kornicki","nazwa / marka","720","0.75","/wapnowanie-gleby/","3","1"
"Kreda nawozowa granulowana","305","kornica kreda","producent / zakład","20","","","","0"
"Kreda nawozowa granulowana","305","kreda kornica","producent / zakład","50","1.88","","","0"
"Kreda nawozowa granulowana","305","kzk kornica","producent / zakład","30","0.53","","","0"
"Kreda nawozowa granulowana","305","wapno kornica","producent / zakład","20","0.54","","","0"
"Kreda nawozowa granulowana","305","kreda do stawu","nazwa + zastosowanie","1300","0.88","","","0"
"Kreda nawozowa granulowana","305","kreda do odkwaszania gleby","nazwa + zastosowanie","20","0.47","/wapno-nawozowe-rolnictwo/kreda-nawozowa-granulowana/","19","2"
"Kreda nawozowa granulowana","305","kreda nawozowa zastosowanie","nazwa + zastosowanie","10","","","","0"
"Kreda nawozowa granulowana","305","kreda granulowana ile na hektar","nazwa + dawka","30","","/wapnowanie-gleby/","7.0","111"
"Kreda nawozowa granulowana","305","kreda nawozowa granulowana dawkowanie","nazwa + dawka","10","","/wapno-nawozowe-rolnictwo/kreda-nawozowa-granulowana/","5.3","7"
"Kreda nawozowa granulowana","305","kreda granulowana dawkowanie","nazwa + dawka","20","","/wapnowanie-gleby/","3","2"
"Kreda nawozowa granulowana","305","kreda granulowana do stawu","nazwa + zastosowanie","50","1.71","","","0"
"Kreda nawozowa granulowana","305","kreda granulowana do sadu","nazwa + zastosowanie","<10","","","","0"
"Kreda nawozowa granulowana","305","ile kredy granulowanej na hektar","nazwa + dawka","10","4.06","/wapnowanie-gleby/","7","39"
"Kreda nawozowa granulowana","305","ile kredy nawozowej na hektar","nazwa + dawka","10","","/wapno-nawozowe-rolnictwo/kreda-nawozowa-granulowana/","2","27"
"Kreda nawozowa granulowana","305","kreda nawozowa dawkowanie","nazwa + dawka","70","0.58","/wapnowanie-gleby/","6.2","89"
"Kreda nawozowa granulowana","305","ile kredy na hektar","nazwa + dawka","110","3.49","/wapnowanie-gleby/","8.9","246"
"Kreda nawozowa granulowana","305","kreda nawozowa granulowana cena","nazwa + cena / forma","30","0.64","/wapnowanie-gleby/","2","26"
"Kreda nawozowa granulowana","305","kreda granulowana cena","nazwa + cena / forma","20","0.39","/wapnowanie-gleby/","2","1"
"Kreda nawozowa granulowana","305","kreda nawozowa cena","nazwa + cena / forma","50","0.18","/wapno-nawozowe-rolnictwo/kreda-nawozowa-granulowana/","2","3"
"Kreda nawozowa granulowana","305","cena kredy nawozowej","nazwa + cena / forma","20","0.1","/wapnowanie-gleby/","2","8"
"Kreda nawozowa granulowana","305","kreda granulowana big bag","nazwa + cena / forma","90","0.52","","","0"
"Kreda nawozowa granulowana","305","wapno kredowe","rodzaj ogólny","590","0.48","/wapnowanie-gleby/","2","3"
"Kreda nawozowa granulowana","305","wapno węglanowe granulowane","rodzaj ogólny","390","0.58","/wapnowanie-gleby/","2.1","143"
"Kreda nawozowa granulowana","305","kreda czy wapno","porównania","20","","","","0"
"Kreda nawozowa granulowana","305","kreda nawozowa ile na hektar","nazwa + dawka","10","","/wapno-nawozowe-rolnictwo/kreda-nawozowa-granulowana/","2","22"
"Kreda nawozowa granulowana","305","wapno kredowe granulowane ile na hektar","nazwa + dawka","10","5.5","/wapnowanie-gleby/","7.3","105"
"Kreda nawozowa granulowana","305","kreda granulowana 25 kg","nazwa + cena / forma","10","0.43","","","0"
"Kreda nawozowa granulowana","305","kreda nawozowa cena za tonę","nazwa + cena / forma","30","0.64","/wapno-nawozowe-rolnictwo/kreda-nawozowa-sypka/","18","1"
"Kreda nawozowa granulowana","305","kreda węglanowa","rodzaj ogólny","10","0.16","","","0"
"Kreda nawozowa granulowana","305","kreda granulowana czy sypka","porównania","<10","","","","0"
"Kreda nawozowa granulowana","305","kreda nawozowa czy dolomit","porównania","<10","","","","0"
