"produkt","wc_id","fraza","typ","wolumen","cpc_zl","nasz_url_gsc","pozycja_gsc","wyswietlenia_gsc"
"Kreda nawozowa sypka","306","kreda nawozowa sypka","nazwa","40","0.17","/wapno-nawozowe-rolnictwo/kreda-nawozowa-sypka/","5.7","62"
"Kreda nawozowa sypka","306","kreda sypka","nazwa","20","0.43","/wapno-nawozowe-rolnictwo/","4","6"
"Kreda nawozowa sypka","306","wapno kredowe sypkie","nazwa","50","0.54","/wapnowanie-gleby/","2","1"
"Kreda nawozowa sypka","306","kreda nawozowa luzem","nazwa","20","0.39","/wapnowanie-gleby/","2","1"
"Kreda nawozowa sypka","306","kreda nawozowa 06a","odmiana","10","0.37","","","0"
"Kreda nawozowa sypka","306","kreda 06a","odmiana","50","0.64","/wapnowanie-gleby/","5","1"
"Kreda nawozowa sypka","306","kopalnia drugnia","producent / zakład","40","","","","0"
"Kreda nawozowa sypka","306","kreda sypka nawozowa","nazwa","<10","","","","0"
"Kreda nawozowa sypka","306","kreda luzem","nazwa","10","2.1","","","0"
"Kreda nawozowa sypka","306","kreda nawozowa odmiana 06","odmiana","<10","","","","0"
"Kreda nawozowa sypka","306","wapno nawozowe odmiana 06","odmiana","<10","","","","0"
"Kreda nawozowa sypka","306","drugnia kreda","producent / zakład","<10","","","","0"
"Kreda nawozowa sypka","306","kreda pierzchnica","producent / zakład","<10","","","","0"
"Kreda nawozowa sypka","306","wapno pierzchnica","producent / zakład","<10","","","","0"
"Kreda nawozowa sypka","306","kreda sypka do stawu","nazwa + zastosowanie","<10","","","","0"
"Kreda nawozowa sypka","306","kreda sypka ile na hektar","nazwa + dawka","<10","","","","0"
"Kreda nawozowa sypka","306","kreda nawozowa sypka dawkowanie","nazwa + dawka","<10","","","","0"
"Kreda nawozowa sypka","306","kreda nawozowa sypka cena","nazwa + cena","<10","","","","0"
"Kreda nawozowa sypka","306","kreda sypka cena","nazwa + cena","<10","","","","0"
"Kreda nawozowa sypka","306","kreda luzem cena","nazwa + cena","<10","","","","0"
"Kreda nawozowa sypka","306","wapno węglanowe sypkie","rodzaj ogólny","20","1.32","/wapno-nawozowe-rolnictwo/weglanowe-magnez-odmiana-05/","8","6"
"Kreda nawozowa sypka","306","kreda nawozowa","rodzaj ogólny","1000","0.3","/","6","38"
"Kreda nawozowa sypka","306","kreda sypka czy granulowana","porównania","<10","","","","0"
