"produkt","wc_id","fraza","typ","wolumen","cpc_zl","nasz_url_gsc","pozycja_gsc","wyswietlenia_gsc"
"Kreda pastewna","307","kreda pastewna","nazwa","2400","0.44","/paszarstwo/kreda-pastewna/","14.5","5"
"Kreda pastewna","307","kreda paszowa","nazwa","90","0.42","/paszarstwo/","15","3"
"Kreda pastewna","307","kreda pastewna dla kur","nazwa + zastosowanie","1600","0.47","","","0"
"Kreda pastewna","307","kreda pastewna dla kur niosek","nazwa + zastosowanie","110","0.55","","","0"
"Kreda pastewna","307","kreda pastewna dla bydła","nazwa + zastosowanie","210","0.98","/paszarstwo/kreda-pastewna/","2","17"
"Kreda pastewna","307","kreda pastewna dla krów","nazwa + zastosowanie","10","","","","0"
"Kreda pastewna","307","kreda dla kur","nazwa + zastosowanie","720","0.67","","","0"
"Kreda pastewna","307","kreda dla bydła","nazwa + zastosowanie","70","0.46","/paszarstwo/","17","10"
"Kreda pastewna","307","wapno dla kur niosek","nazwa + zastosowanie","210","0.54","","","0"
"Kreda pastewna","307","kreda pastewna zastosowanie","nazwa + zastosowanie","10","","","","0"
"Kreda pastewna","307","kreda pastewna na pole","nazwa + zastosowanie","20","0.57","/paszarstwo/","16","1"
"Kreda pastewna","307","kreda pastewna dawkowanie","nazwa + dawka","30","","/paszarstwo/kreda-pastewna/","21.2","13"
"Kreda pastewna","307","kreda pastewna dla kur dawkowanie","nazwa + dawka","90","0.36","/paszarstwo/","21.5","2"
"Kreda pastewna","307","kreda pastewna dla bydła dawkowanie","nazwa + dawka","70","0.04","/paszarstwo/","21.4","13"
"Kreda pastewna","307","ile kredy pastewnej dla kur","nazwa + dawka","50","1.85","","","0"
"Kreda pastewna","307","kreda pastewna cena","nazwa + cena","40","0.28","","","0"
"Kreda pastewna","307","kreda pastewna 30 kg","nazwa","<10","","","","0"
"Kreda pastewna","307","kreda pastewna luzem","nazwa","<10","","","","0"
"Kreda pastewna","307","kreda pastewna dla świń","nazwa + zastosowanie","<10","","","","0"
"Kreda pastewna","307","co to jest kreda pastewna","nazwa + zastosowanie","20","0.08","","","0"
"Kreda pastewna","307","kreda pastewna gruboziarnista","frakcja","30","0.56","","","0"
"Kreda pastewna","307","kreda pastewna drobnoziarnista","frakcja","30","0.41","","","0"
"Kreda pastewna","307","labtar kreda pastewna","producent / kopalnia","20","0.52","","","0"
"Kreda pastewna","307","kreda pastewna cena za tonę","nazwa + cena","20","0.16","","","0"
"Kreda pastewna","307","ile kosztuje kreda pastewna","nazwa + cena","20","0.12","","","0"
"Kreda pastewna","307","kreda pastewna celiny","producent / kopalnia","<10","","","","0"
"Kreda pastewna","307","kreda pastewna lhoist","producent / kopalnia","<10","","","","0"
"Kreda pastewna","307","kreda pastewna nordkalk","producent / kopalnia","<10","","","","0"
"Kreda pastewna","307","węglan wapnia paszowy","rodzaj ogólny","<10","","","","0"
"Kreda pastewna","307","węglan wapnia dla zwierząt","rodzaj ogólny","<10","","","","0"
"Kreda pastewna","307","grys wapienny dla kur","rodzaj ogólny","10","0.81","","","0"
"Kreda pastewna","307","mączka wapienna paszowa","rodzaj ogólny","<10","","","","0"
"Kreda pastewna","307","kreda pastewna czy muszle","porównania","<10","","","","0"
"Kreda pastewna","307","kreda pastewna a wapno","porównania","<10","","","","0"
