"produkt","wc_id","fraza","typ","wolumen","cpc_zl","nasz_url_gsc","pozycja_gsc","wyswietlenia_gsc"
"Wapno nawozowe tlenkowe Oxyfertil 90","312","oxyfertil","nazwa / marka","30","","/wapno-nawozowe-hurt/wapno-oxyfertil-90-frakcja-3-8mm-big-bag-1000kg/","5.4","83"
"Wapno nawozowe tlenkowe Oxyfertil 90","312","oxyfertil 90","nazwa / marka","10","3.7","/wapno-nawozowe-rolnictwo/oxyfertil-90/","4.9","22"
"Wapno nawozowe tlenkowe Oxyfertil 90","312","wapno oxyfertil","nazwa / marka","20","","/wapno-nawozowe-rolnictwo/oxyfertil-90/","3.8","60"
"Wapno nawozowe tlenkowe Oxyfertil 90","312","oxyfertil wapno","nazwa / marka","10","1.04","/wapno-nawozowe-rolnictwo/oxyfertil-90/","6.3","6"
"Wapno nawozowe tlenkowe Oxyfertil 90","312","wapno tlenkowe oxyfertil","nazwa / marka","10","0.5","","","0"
"Wapno nawozowe tlenkowe Oxyfertil 90","312","oxifertil","nazwa / marka","0","","","","0"
"Wapno nawozowe tlenkowe Oxyfertil 90","312","oxyfertil dawkowanie","nazwa + zastosowanie / dawka / cena / forma","10","","","","0"
"Wapno nawozowe tlenkowe Oxyfertil 90","312","wapno oxyfertil dawkowanie","nazwa + zastosowanie / dawka / cena / forma","10","","","","0"
"Wapno nawozowe tlenkowe Oxyfertil 90","312","oxyfertil 90 cena","nazwa + zastosowanie / dawka / cena / forma","10","","/wapno-nawozowe-rolnictwo/oxyfertil-90/","1.8","4"
"Wapno nawozowe tlenkowe Oxyfertil 90","312","oxyfertil cena","nazwa + zastosowanie / dawka / cena / forma","10","","","","0"
"Wapno nawozowe tlenkowe Oxyfertil 90","312","wapno oxyfertil cena","nazwa + zastosowanie / dawka / cena / forma","10","1.37","","","0"
"Wapno nawozowe tlenkowe Oxyfertil 90","312","oxyfertil lhoist","producent / zakład (magazyny z karty: Tarnów Opolski, Góraźdźce)","10","","","","0"
"Wapno nawozowe tlenkowe Oxyfertil 90","312","lhoist","producent / zakład (magazyny z karty: Tarnów Opolski, Góraźdźce)","480","1.08","","","0"
"Wapno nawozowe tlenkowe Oxyfertil 90","312","lhoist wapno","producent / zakład (magazyny z karty: Tarnów Opolski, Góraźdźce)","30","1.81","","","0"
"Wapno nawozowe tlenkowe Oxyfertil 90","312","wapno lhoist","producent / zakład (magazyny z karty: Tarnów Opolski, Góraźdźce)","20","0.28","","","0"
"Wapno nawozowe tlenkowe Oxyfertil 90","312","lhoist tarnów opolski","producent / zakład (magazyny z karty: Tarnów Opolski, Góraźdźce)","170","1.5","","","0"
"Wapno nawozowe tlenkowe Oxyfertil 90","312","lhoist górażdże","producent / zakład (magazyny z karty: Tarnów Opolski, Góraźdźce)","70","","","","0"
"Wapno nawozowe tlenkowe Oxyfertil 90","312","wapno tarnów opolski","producent / zakład (magazyny z karty: Tarnów Opolski, Góraźdźce)","10","","","","0"
"Wapno nawozowe tlenkowe Oxyfertil 90","312","oxyfertil zastosowanie","nazwa + zastosowanie / dawka / cena / forma","<10","","","","0"
"Wapno nawozowe tlenkowe Oxyfertil 90","312","oxyfertil big bag","nazwa + zastosowanie / dawka / cena / forma","<10","","","","0"
"Wapno nawozowe tlenkowe Oxyfertil 90","312","wapno górażdże","producent / zakład (magazyny z karty: Tarnów Opolski, Góraźdźce)","20","2.42","","","0"
"Wapno nawozowe tlenkowe Oxyfertil 90","312","wapno tlenkowe 90","rodzaj ogólny","20","0.4","","","0"
"Wapno nawozowe tlenkowe Oxyfertil 90","312","wapno palone 90","rodzaj ogólny","<10","","","","0"
"Wapno nawozowe tlenkowe Oxyfertil 90","312","wapno tlenkowe kruszone","rodzaj ogólny","<10","","","","0"
"Wapno nawozowe tlenkowe Oxyfertil 90","312","wapno palone kruszone","rodzaj ogólny","<10","","/wp-content/uploads/2023/06/5.pdf","6.5","5"
"Wapno nawozowe tlenkowe Oxyfertil 90","312","wapno do higienizacji osadów","rodzaj ogólny","<10","","","","0"
"Wapno nawozowe tlenkowe Oxyfertil 90","312","wapno do oczyszczalni","rodzaj ogólny","<10","","","","0"
"Wapno nawozowe tlenkowe Oxyfertil 90","312","oxyfertil czy agrobielik","porównania","<10","","","","0"
"Wapno nawozowe tlenkowe Oxyfertil 90","312","oxyfertil czy agrobielik 90","porównania","<10","","","","0"
"Wapno nawozowe tlenkowe Oxyfertil 90","312","wapno nawozowe tlenkowe","rodzaj ogólny","50","0.94","/wapno-nawozowe-rolnictwo/oxyfertil-90/","10","157"
