"produkt","wc_id","fraza","typ","wolumen","cpc_zl","nasz_url_gsc","pozycja_gsc","wyswietlenia_gsc"
"Wapno palone mielone wysokoreaktywne","320","wapno palone mielone","nazwa","10","0.55","/wapno-do-oczyszczalni/wapno-palone-mielone-wysokoreaktywne-luz-24t/","4","3"
"Wapno palone mielone wysokoreaktywne","320","wapno wysokoreaktywne","nazwa","20","","","","0 wierszy"
"Wapno palone mielone wysokoreaktywne","320","wapno palone","nazwa","2400","0.49","/wapno-hydratyzowane/bielik/","4","1"
"Wapno palone mielone wysokoreaktywne","320","wapno niegaszone","nazwa","170","0.41","","","0 wierszy"
"Wapno palone mielone wysokoreaktywne","320","tlenek wapnia","nazwa","1300","0.86","","","0 wierszy"
"Wapno palone mielone wysokoreaktywne","320","wapno palone cena","nazwa + cena/forma","90","0.34","","","0 wierszy"
"Wapno palone mielone wysokoreaktywne","320","wapno palone mielone cena","nazwa + cena/forma","10","","","","0 wierszy"
"Wapno palone mielone wysokoreaktywne","320","wapno palone cena za tonę","nazwa + cena/forma","30","0.33","","","0 wierszy"
"Wapno palone mielone wysokoreaktywne","320","higienizacja osadów ściekowych","nazwa + zastosowanie","30","","/wapno-do-oczyszczalni/","16.6","172"
"Wapno palone mielone wysokoreaktywne","320","wapnowanie osadów ściekowych","nazwa + zastosowanie","20","","/wapno-do-oczyszczalni/","13.5","132"
"Wapno palone mielone wysokoreaktywne","320","wapno do stabilizacji gruntu","nazwa + zastosowanie","10","1.44","","","0 wierszy"
"Wapno palone mielone wysokoreaktywne","320","stabilizacja gruntu wapnem","nazwa + zastosowanie","50","","","","0 wierszy"
"Wapno palone mielone wysokoreaktywne","320","wapno palone mielone wysokoreaktywne","nazwa","<10","","","","0 wierszy"
"Wapno palone mielone wysokoreaktywne","320","wapno cl 90 q","nazwa","<10","","","","0 wierszy"
"Wapno palone mielone wysokoreaktywne","320","wapno palone big bag","nazwa + cena/forma","<10","","","","0 wierszy"
"Wapno palone mielone wysokoreaktywne","320","wapno palone luzem","nazwa + cena/forma","<10","","","","0 wierszy"
"Wapno palone mielone wysokoreaktywne","320","wapno do oczyszczalni","nazwa + zastosowanie","<10","","","","0 wierszy"
"Wapno palone mielone wysokoreaktywne","320","wapno do higienizacji osadów","nazwa + zastosowanie","<10","","","","0 wierszy"
"Wapno palone mielone wysokoreaktywne","320","higienizacja osadów wapnem","nazwa + zastosowanie","<10","","","","0 wierszy"
"Wapno palone mielone wysokoreaktywne","320","wapno do osadów ściekowych","nazwa + zastosowanie","<10","","","","0 wierszy"
"Wapno palone mielone wysokoreaktywne","320","wapno do szamba","nazwa + zastosowanie","70","0.9","/wapno-do-oczyszczalni/","11.1","66"
"Wapno palone mielone wysokoreaktywne","320","wapno palone a gaszone","porównanie","90","2.06","","","0 wierszy"
"Wapno palone mielone wysokoreaktywne","320","wapno palone do szamba","nazwa + zastosowanie","<10","","","","0 wierszy"
"Wapno palone mielone wysokoreaktywne","320","wapno palone dawkowanie","dawka","<10","","","","0 wierszy"
"Wapno palone mielone wysokoreaktywne","320","wapno palone nordkalk","producent/zakład","<10","","","","0 wierszy"
"Wapno palone mielone wysokoreaktywne","320","wapno palone sitkówka","producent/zakład","<10","","","","0 wierszy"
"Wapno palone mielone wysokoreaktywne","320","wapno palone trzuskawica","producent/zakład","<10","","","","0 wierszy"
"Wapno palone mielone wysokoreaktywne","320","wapno palone a hydratyzowane","porównanie","10","","","","0 wierszy"
"Wapno palone mielone wysokoreaktywne","320","wapno palone czy gaszone","porównanie","<10","","","","0 wierszy"
