"produkt","wc_id","fraza","typ","wolumen","cpc_zl","nasz_url_gsc","pozycja_gsc","wyswietlenia_gsc"
"Wapno nawozowe węglanowe bez magnezu granulowane","314","wapno węglanowe granulowane","nazwa","390","0.58","/wapno-nawozowe-rolnictwo/weglanowe-granulowane/","21.8","143"
"Wapno nawozowe węglanowe bez magnezu granulowane","314","wapno nawozowe węglanowe granulowane","nazwa","<10","","/wapno-nawozowe-rolnictwo/weglanowe-granulowane/","18.4","83"
"Wapno nawozowe węglanowe bez magnezu granulowane","314","wapno granulowane węglanowe","nazwa","50","1.03","/wapno-nawozowe-rolnictwo/weglanowe-granulowane/","20","1"
"Wapno nawozowe węglanowe bez magnezu granulowane","314","wapno węglanowe bez magnezu granulowane","nazwa","<10","","","","0"
"Wapno nawozowe węglanowe bez magnezu granulowane","314","wapno granulowane bez magnezu","nazwa","<10","","","","0"
"Wapno nawozowe węglanowe bez magnezu granulowane","314","granulat wapniowy","nazwa","<10","","","","0"
"Wapno nawozowe węglanowe bez magnezu granulowane","314","calcifertil","nazwa (marka z atrybutu)","10","","","","0"
"Wapno nawozowe węglanowe bez magnezu granulowane","314","wapno calcifertil","nazwa (marka z atrybutu)","<10","","","","0"
"Wapno nawozowe węglanowe bez magnezu granulowane","314","grankal","nazwa (marka z atrybutu)","110","1.41","","","0"
"Wapno nawozowe węglanowe bez magnezu granulowane","314","wapno grankal","nazwa (marka z atrybutu)","20","0.11","","","0"
"Wapno nawozowe węglanowe bez magnezu granulowane","314","wapno granulowane do sadu","nazwa+zastosowanie","<10","","","","0"
"Wapno nawozowe węglanowe bez magnezu granulowane","314","wapno granulowane na gleby lekkie","nazwa+zastosowanie","<10","","","","0"
"Wapno nawozowe węglanowe bez magnezu granulowane","314","wapno granulowane ekologiczne","nazwa+zastosowanie","<10","","","","0"
"Wapno nawozowe węglanowe bez magnezu granulowane","314","wapno granulowane siewnik","nazwa+zastosowanie","<10","","","","0"
"Wapno nawozowe węglanowe bez magnezu granulowane","314","ile wapna granulowanego na hektar","nazwa+dawka","480","3.33","/wapnowanie-gleby/","7.2","2033"
"Wapno nawozowe węglanowe bez magnezu granulowane","314","wapno granulowane ile na hektar","nazwa+dawka","170","3.34","/wapnowanie-gleby/","8.1","380"
"Wapno nawozowe węglanowe bez magnezu granulowane","314","wapno węglanowe granulowane ile na hektar","nazwa+dawka","20","","/wapnowanie-gleby/","7.0","83"
"Wapno nawozowe węglanowe bez magnezu granulowane","314","wapno granulowane dawkowanie","nazwa+dawka","40","4.76","/wapnowanie-gleby/","11.2","20"
"Wapno nawozowe węglanowe bez magnezu granulowane","314","wapno granulowane cena","nazwa+cena","480","1.02","/wapnowanie-gleby/","2","17"
"Wapno nawozowe węglanowe bez magnezu granulowane","314","wapno węglanowe granulowane cena","nazwa+cena","30","0.81","/wapno-nawozowe-rolnictwo/weglanowe-granulowane/","10.9","7"
"Wapno nawozowe węglanowe bez magnezu granulowane","314","wapno granulowane big bag","nazwa+cena","260","0.55","/wapnowanie-gleby/","2.6","10"
"Wapno nawozowe węglanowe bez magnezu granulowane","314","wapno granulowane 25 kg","nazwa+cena","70","0.32","","","0"
"Wapno nawozowe węglanowe bez magnezu granulowane","314","wapno granulowane cena za tonę","nazwa+cena","90","0.82","/wapnowanie-gleby/","2.5","2"
"Wapno nawozowe węglanowe bez magnezu granulowane","314","lhoist wapno","kopalnia","30","1.81","","","0"
"Wapno nawozowe węglanowe bez magnezu granulowane","314","kopalnia celiny","kopalnia","320","","","","0"
"Wapno nawozowe węglanowe bez magnezu granulowane","314","wapno celiny","kopalnia","10","","","","0"
"Wapno nawozowe węglanowe bez magnezu granulowane","314","wapno draby","kopalnia","<10","","","","0"
"Wapno nawozowe węglanowe bez magnezu granulowane","314","wapno tarnów opolski","kopalnia","10","","","","0"
"Wapno nawozowe węglanowe bez magnezu granulowane","314","wapno granulowane","rodzaj ogólny","4400","0.8","/wapnowanie-gleby/","2.1","45"
"Wapno nawozowe węglanowe bez magnezu granulowane","314","wapno nawozowe granulowane","rodzaj ogólny","390","0.85","/wapnowanie-gleby/","2","6"
"Wapno nawozowe węglanowe bez magnezu granulowane","314","wapno kredowe granulowane","rodzaj ogólny","260","0.46","/wapnowanie-gleby/","2.4","9"
"Wapno nawozowe węglanowe bez magnezu granulowane","314","wapno węglanowe","rodzaj ogólny","1000","0.8","/wapno-nawozowe-rolnictwo/weglanowe-odmiana-04/","9.9","988"
"Wapno nawozowe węglanowe bez magnezu granulowane","314","wapno nawozowe węglanowe","rodzaj ogólny","40","0.01","/wapno-nawozowe-rolnictwo/weglanowe-granulowane/","18.9","187"
"Wapno nawozowe węglanowe bez magnezu granulowane","314","wapno granulowane czy sypkie","porównanie","50","2.52","/wapnowanie-gleby/","2","1"
"Wapno nawozowe węglanowe bez magnezu granulowane","314","wapno granulowane czy kreda","porównanie","<10","","","","0"
"Wapno nawozowe węglanowe bez magnezu granulowane","314","wapno węglanowe czy magnezowe","porównanie","20","","/wapno-nawozowe-rolnictwo/weglanowe-magnez-granulowane/","8","2"
"Wapno nawozowe węglanowe bez magnezu granulowane","314","wapno tlenkowe czy węglanowe","porównanie","10","","","","0"
