"produkt","wc_id","fraza","typ","wolumen","cpc_zl","nasz_url_gsc","pozycja_gsc","wyswietlenia_gsc"
"Węglanowe z magnezem granulowane","317","wapno magnezowe granulowane","nazwa / rodzaj produktu","880","0.44","/wapnowanie-gleby/","2.3","9"
"Węglanowe z magnezem granulowane","317","wapno granulowane z magnezem","nazwa / rodzaj produktu","140","0.39","/wapnowanie-gleby/","2","1"
"Węglanowe z magnezem granulowane","317","wapno granulowane magnezowe","nazwa / rodzaj produktu","170","0.54","/wapnowanie-gleby/","2","2"
"Węglanowe z magnezem granulowane","317","wapno węglanowo magnezowe granulowane","nazwa / rodzaj produktu","20","0.1","/wapno-nawozowe-rolnictwo/weglanowe-magnez-granulowane/","15","2"
"Węglanowe z magnezem granulowane","317","grankal","producent","110","1.41","","","0"
"Węglanowe z magnezem granulowane","317","wapno grankal","producent","20","0.11","","","0"
"Węglanowe z magnezem granulowane","317","wapno magnezowe granulowane ile na hektar","nazwa + dawka","50","1.56","/wapnowanie-gleby/","9.6","155"
"Węglanowe z magnezem granulowane","317","ile wapna magnezowego granulowanego na hektar","nazwa + dawka","10","","/wapnowanie-gleby/","9.3","43"
"Węglanowe z magnezem granulowane","317","wapno magnezowe granulowane dawkowanie","nazwa + dawka","70","","","","0"
"Węglanowe z magnezem granulowane","317","wapno magnezowe granulowane cena","nazwa + cena / forma","50","0.22","/wapnowanie-gleby/","2","1"
"Węglanowe z magnezem granulowane","317","wapno magnezowe granulowane big bag","nazwa + cena / forma","50","0.59","/wapnowanie-gleby/","3","1"
"Węglanowe z magnezem granulowane","317","wapno węglanowe z magnezem granulowane","nazwa / rodzaj produktu","<10","","","","0"
"Węglanowe z magnezem granulowane","317","granulat wapniowo magnezowy","nazwa / rodzaj produktu","<10","","","","0"
"Węglanowe z magnezem granulowane","317","wapno granulowane grankal","producent","<10","","","","0"
"Węglanowe z magnezem granulowane","317","grankal wapno magnezowe","producent","<10","","","","0"
"Węglanowe z magnezem granulowane","317","grankal draby","producent","<10","","","","0"
"Węglanowe z magnezem granulowane","317","wapno magnezowe do sadu","nazwa + zastosowanie","<10","","","","0"
"Węglanowe z magnezem granulowane","317","wapno magnezowe na gleby lekkie","nazwa + zastosowanie","<10","","","","0"
"Węglanowe z magnezem granulowane","317","wapno magnezowe ekologiczne","nazwa + zastosowanie","<10","","","","0"
"Węglanowe z magnezem granulowane","317","wapno magnezowe granulowane 25 kg","nazwa + cena / forma","10","0.27","","","0"
"Węglanowe z magnezem granulowane","317","wapno granulowane z magnezem cena","nazwa + cena / forma","10","0.33","","","0"
"Węglanowe z magnezem granulowane","317","wapno magnezowe","rodzaj ogólny","1900","0.6","/wapno-nawozowe-rolnictwo/weglanowe-magnez-granulowane/","48.9","27"
"Węglanowe z magnezem granulowane","317","wapno granulowane","rodzaj ogólny","4400","0.8","/wapnowanie-gleby/","2.1","45"
"Węglanowe z magnezem granulowane","317","wapno węglanowe granulowane","rodzaj ogólny","390","0.58","/wapno-nawozowe-rolnictwo/weglanowe-granulowane/","21.8","143"
"Węglanowe z magnezem granulowane","317","wapno węglanowo magnezowe","rodzaj ogólny","170","0.72","/wapno-nawozowe-rolnictwo/weglanowe-magnez-odmiana-05/","17","10"
"Węglanowe z magnezem granulowane","317","wapno magnezowe czy węglanowe","porównania","10","","","","0"
"Węglanowe z magnezem granulowane","317","wapno granulowane czy sypkie","porównania","50","2.52","/wapnowanie-gleby/","2","1"
"Węglanowe z magnezem granulowane","317","wapno nawozowe węglanowo magnezowe","rodzaj ogólny","<10","","","","0"
"Węglanowe z magnezem granulowane","317","wapno magnezowe czy kizeryt","porównania","<10","","","","0"
