"produkt","wc_id","fraza","typ","wolumen","cpc_zl","nasz_url_gsc","pozycja_gsc","wyswietlenia_gsc"
"Węglanowe z magnezem — Odmiana 04","318","wapno odmiana 04","nazwa / odmiana","30","","/wapno-nawozowe-rolnictwo/weglanowe-odmiana-04/","3.6","108"
"Węglanowe z magnezem — Odmiana 04","318","wapno nawozowe odmiana 04","nazwa / odmiana","10","","","","0"
"Węglanowe z magnezem — Odmiana 04","318","dewonit","producent / kopalnia","10","1.78","","","0"
"Węglanowe z magnezem — Odmiana 04","318","wapno dewonit","producent / kopalnia","10","1.26","","","0"
"Węglanowe z magnezem — Odmiana 04","318","kopalnia jażwica","producent / kopalnia","390","","","","0"
"Węglanowe z magnezem — Odmiana 04","318","industria kielce","producent — wolumen nie dotyczy wapna (plik #318 §5)","27100","2.45","","","0"
"Węglanowe z magnezem — Odmiana 04","318","wapno magnezowe świętokrzyskie","producent / kopalnia","10","1.52","","","0"
"Węglanowe z magnezem — Odmiana 04","318","wapno magnezowe dawkowanie","nazwa + dawka","20","","/wapnowanie-gleby/","6.9","28"
"Węglanowe z magnezem — Odmiana 04","318","ile wapna magnezowego na hektar","nazwa + dawka","90","5.58","/wapnowanie-gleby/","9.8","212"
"Węglanowe z magnezem — Odmiana 04","318","wapno magnezowe ile na hektar","nazwa + dawka","70","","/wapnowanie-gleby/","8.0","258"
"Węglanowe z magnezem — Odmiana 04","318","wapno magnezowe cena","nazwa + cena / forma","90","0.26","","","0"
"Węglanowe z magnezem — Odmiana 04","318","wapno magnezowe cena za tonę","nazwa + cena / forma","140","0.81","/wapnowanie-gleby/","2.5","4"
"Węglanowe z magnezem — Odmiana 04","318","wapno magnezowe luzem","nazwa + cena / forma","40","0.65","/wapnowanie-gleby/","2","2"
"Węglanowe z magnezem — Odmiana 04","318","wapno węglanowe z magnezem odmiana 04","nazwa / odmiana","<10","","","","0"
"Węglanowe z magnezem — Odmiana 04","318","wapno magnezowe odmiana 04","nazwa / odmiana","<10","","","","0"
"Węglanowe z magnezem — Odmiana 04","318","jażwica","producent / kopalnia","<10","","","","0"
"Węglanowe z magnezem — Odmiana 04","318","wapno jażwica","producent / kopalnia","<10","","","","0"
"Węglanowe z magnezem — Odmiana 04","318","industria wapno","producent / kopalnia","<10","","","","0"
"Węglanowe z magnezem — Odmiana 04","318","wapno chęciny","producent / kopalnia","<10","","","","0"
"Węglanowe z magnezem — Odmiana 04","318","wapno magnezowe chęciny","producent / kopalnia","<10","","","","0"
"Węglanowe z magnezem — Odmiana 04","318","wapno magnezowe sypkie","nazwa + cena / forma","30","0.68","","","0"
"Węglanowe z magnezem — Odmiana 04","318","wapno węglanowe magnezowe","rodzaj ogólny","170","0.72","/wapno-nawozowe-rolnictwo/weglanowe-magnez-odmiana-05/","20.7","10"
"Węglanowe z magnezem — Odmiana 04","318","wapno węglanowe z magnezem","rodzaj ogólny","30","1.5","/wapno-nawozowe-rolnictwo/weglanowe-magnez-granulowane/","11.3","5"
"Węglanowe z magnezem — Odmiana 04","318","wapno magnezowe","rodzaj ogólny","1900","0.6","/wapno-nawozowe-rolnictwo/weglanowe-magnez-granulowane/","48.9","27"
"Węglanowe z magnezem — Odmiana 04","318","wapno nawozowe z magnezem","rodzaj ogólny","90","0.79","/wapno-nawozowe-rolnictwo/weglanowe-magnez-odmiana-05/","29","2"
"Węglanowe z magnezem — Odmiana 04","318","wapno magnezowe czy węglanowe","porównania","10","","","","0"
"Węglanowe z magnezem — Odmiana 04","318","wapno magnezowe czy tlenkowe","porównania","<10","","","","0"
