"produkt","wc_id","fraza","typ","wolumen","cpc_zl","nasz_url_gsc","pozycja_gsc","wyswietlenia_gsc"
"Wapno nawozowe węglanowe bez magnezu — Odmiana 05","316","wapno węglanowe odmiana 05","nazwa","10","","","","0"
"Wapno nawozowe węglanowe bez magnezu — Odmiana 05","316","wapno odmiana 05","nazwa","20","","/wapno-nawozowe-rolnictwo/weglanowe-magnez-odmiana-05/","2.9","60"
"Wapno nawozowe węglanowe bez magnezu — Odmiana 05","316","wapno nawozowe odmiana 05","nazwa","<10","","","","0"
"Wapno nawozowe węglanowe bez magnezu — Odmiana 05","316","wapno węglanowe bez magnezu","nazwa","10","0.55","","","0"
"Wapno nawozowe węglanowe bez magnezu — Odmiana 05","316","wapno węglanowe 40","nazwa","<10","","","","0"
"Wapno nawozowe węglanowe bez magnezu — Odmiana 05","316","kopalnia celiny","kopalnia","320","","","","0"
"Wapno nawozowe węglanowe bez magnezu — Odmiana 05","316","wapno celiny","kopalnia","10","","","","0"
"Wapno nawozowe węglanowe bez magnezu — Odmiana 05","316","lhoist bukowa","kopalnia","390","2.37","","","0"
"Wapno nawozowe węglanowe bez magnezu — Odmiana 05","316","wapno bukowa","kopalnia","50","1.4","","","0"
"Wapno nawozowe węglanowe bez magnezu — Odmiana 05","316","ile wapna węglanowego na hektar","nazwa+dawka","40","3.76","/wapnowanie-gleby/","8.1","134"
"Wapno nawozowe węglanowe bez magnezu — Odmiana 05","316","wapno węglanowe cena","nazwa+cena","70","0.91","/wapnowanie-gleby/","2","1"
"Wapno nawozowe węglanowe bez magnezu — Odmiana 05","316","wapno węglanowe luzem","nazwa+cena","<10","","","","0"
"Wapno nawozowe węglanowe bez magnezu — Odmiana 05","316","wapno węglanowe","rodzaj ogólny","1000","0.8","/wapno-nawozowe-rolnictwo/weglanowe-odmiana-04/","9.9","988"
"Wapno nawozowe węglanowe bez magnezu — Odmiana 05","316","wapno nawozowe węglanowe","rodzaj ogólny","40","0.01","/wapno-nawozowe-rolnictwo/weglanowe-granulowane/","18.9","187"
"Wapno nawozowe węglanowe bez magnezu — Odmiana 05","316","wapno węglanowe sypkie","rodzaj ogólny","20","1.32","/wapno-nawozowe-rolnictwo/weglanowe-magnez-odmiana-05/","8","6"
"Wapno nawozowe węglanowe bez magnezu — Odmiana 05","316","wapno odmiana 04 czy 05","porównanie","<10","","","","0"
"Wapno nawozowe węglanowe bez magnezu — Odmiana 05","316","wapno węglanowe czy tlenkowe","porównanie","10","","","","0"
