typ	url	kod	skoki	cel	robots	canonical	title	h1
KAT	/wapno-nawozowe-rolnictwo/	200	0		index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large	https://agria.pl/wapno-nawozowe-rolnictwo/	Wapno nawozowe do rolnictwa | AGRIA	Wapno nawozowe
KAT	/wapno-do-sadu/	301	1	https://agria.pl/oferta/?cb=16885 -> 200 https://agria.pl/oferta/?cb=16885				
KAT	/rybactwo-kat-archiwum/	200	0		follow, noindex	https://agria.pl/rybactwo-kat-archiwum/	Wapno do stawów rybnych | AGRIA (odmiany 01,02)	Wapno do&nbsp;stawów
KAT	/wapno-do-oczyszczalni/	200	0		index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large	https://agria.pl/wapno-do-oczyszczalni/	Wapno do oczyszczalni ścieków | AGRIA (higienizacja)	Oczyszczalnie
KAT	/wapno-hydratyzowane/	200	0		index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large	https://agria.pl/wapno-hydratyzowane/	Wapno hydratyzowane do budownictwa | AGRIA	Budownictwo
KAT	/wapno-nawozowe-hurt/	301	1	https://agria.pl/oferta/?cb=24642 -> 200 https://agria.pl/oferta/?cb=24642				
KAT	/paszarstwo/	200	0		index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large	https://agria.pl/paszarstwo/	Kreda pastewna do żywienia zwierząt | AGRIA	Paszarstwo
KAT	/kreda-malarska/	200	0		index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large	https://agria.pl/kreda-malarska/	Kreda malarska &#8211; AGRIA Sp. z o.o. – Wapno nawozowe i budowlane	Kreda malarska
KATHIST	/wapno-do-stawow/	404	0	 -> 404 https://agria.pl/wapno-do-stawow/?cb=13869				
KATHIST	/kategoria-produktu/wapno-nawozowe-rolnictwo/	301	1	https://agria.pl/wapno-nawozowe-rolnictwo/?cb=1259 -> 200 https://agria.pl/wapno-nawozowe-rolnictwo/?cb=1259				
KATHIST	/kategoria-produktu/paszarstwo/	301	1	https://agria.pl/paszarstwo/?cb=6262 -> 200 https://agria.pl/paszarstwo/?cb=6262				
KATHIST	/kategoria-produktu/wapno-hydratyzowane/	301	1	https://agria.pl/wapno-hydratyzowane/?cb=4982 -> 200 https://agria.pl/wapno-hydratyzowane/?cb=4982				
KATHIST	/kategoria-produktu/wapno-do-oczyszczalni/	301	1	https://agria.pl/wapno-do-oczyszczalni/?cb=21264 -> 200 https://agria.pl/wapno-do-oczyszczalni/?cb=21264				
KATHIST	/kategoria-produktu/kreda-malarska/	301	1	https://agria.pl/kreda-malarska/?cb=31618 -> 200 https://agria.pl/kreda-malarska/?cb=31618				
