"produkt","wc_id","fraza","typ","wolumen","cpc_zl","nasz_url_gsc","pozycja_gsc","wyswietlenia_gsc","klikniecia_gsc","adresow_gsc"
"Agrobielik 70","310","agrobielik","nazwa / marka","10","","","","","",""
"Agrobielik 70","310","wapno agrobielik","nazwa / marka","10","","","","","",""
"Agrobielik 70","310","agrobielik 70","nazwa / marka","<10","","","","","",""
"Agrobielik 70","310","wapno agrobielik 70","nazwa / marka","<10","","","","","",""
"Agrobielik 70","310","agro bielik","nazwa / marka","<10","","","","","",""
"Agrobielik 70","310","wapno agro bielik","nazwa / marka","<10","","","","","",""
"Agrobielik 70","310","bielik wapno nawozowe","nazwa / marka","<10","","","","","",""
"Agrobielik 70","310","agrobielik 90","nazwa / marka","<10","","","","","",""
"Agrobielik 70","310","agrobielik 70 zastosowanie","nazwa + zastosowanie","<10","","","","","",""
"Agrobielik 70","310","agrobielik do stawu","nazwa + zastosowanie","<10","","","","","",""
"Agrobielik 70","310","agrobielik na łąki","nazwa + zastosowanie","<10","","","","","",""
"Agrobielik 70","310","agrobielik dawkowanie","nazwa + dawka","<10","","","","","",""
"Agrobielik 70","310","agrobielik 70 dawkowanie","nazwa + dawka","<10","","","","","",""
"Agrobielik 70","310","ile agrobielik na hektar","nazwa + dawka","<10","","","","","",""
"Agrobielik 70","310","agrobielik cena","nazwa + cena / forma","<10","","","","","",""
"Agrobielik 70","310","agrobielik 70 cena","nazwa + cena / forma","<10","","","","","",""
"Agrobielik 70","310","wapno agrobielik cena","nazwa + cena / forma","<10","","","","","",""
"Agrobielik 70","310","agrobielik big bag","nazwa + cena / forma","<10","","","","","",""
"Agrobielik 70","310","agrobielik 20 kg","nazwa + cena / forma","<10","","","","","",""
"Agrobielik 70","310","agrobielik 40 kg","nazwa + cena / forma","<10","","","","","",""
"Agrobielik 70","310","wapno trzuskawica","producent / zakład","30","1.18","","","","",""
"Agrobielik 70","310","wapno bielik trzuskawica","producent / zakład","10","","","","","",""
"Agrobielik 70","310","wapno nordkalk","producent / zakład","210","0.6","","","","",""
"Agrobielik 70","310","nordkalk wapno","producent / zakład","480","0.89","","","","",""
"Agrobielik 70","310","wapno tlenkowe","rodzaj ogólny","720","0.52","/wapno-nawozowe-rolnictwo/wapno-tlenkowe-magnez/","25.5","58","0","3"
"Agrobielik 70","310","wapno nawozowe tlenkowe","rodzaj ogólny","50","0.94","/wapno-nawozowe-rolnictwo/wapno-tlenkowe-magnez/","13.4","157","0","5"
"Agrobielik 70","310","wapno tlenkowe sypkie","rodzaj ogólny","20","0.18","/wapno-nawozowe-rolnictwo/","7.3","15","0","3"
"Agrobielik 70","310","wapno tlenkowe 70","rodzaj ogólny","10","0.37","","","","",""
"Agrobielik 70","310","wapno tlenkowe big bag","rodzaj ogólny","50","0.55","/wapno-nawozowe-hurt/wapno-agrobielik-70-big-bag-1000kg/","11.9","45","0","2"
"Agrobielik 70","310","wapno tlenkowe luzem","rodzaj ogólny","10","1.05","","","","",""
"Agrobielik 70","310","wapno tlenkowe do stawu","rodzaj ogólny","90","0.49","/wapnowanie-gleby/","2","1","0","1"
"Agrobielik 70","310","wapno tlenkowe dawkowanie","rodzaj ogólny","40","2.18","/wapnowanie-gleby/","9.7","87","0","4"
"Agrobielik 70","310","wapno tlenkowe ile na hektar","rodzaj ogólny","20","","/wapnowanie-gleby/","5.3","105","0","1"
"Agrobielik 70","310","ile wapna tlenkowego na hektar","rodzaj ogólny","20","4.03","/wapnowanie-gleby/","6.1","95","0","1"
"Agrobielik 70","310","wapno tlenkowe cena","rodzaj ogólny","50","0.17","/wapnowanie-gleby/","2","5","1","2"
"Agrobielik 70","310","wapno tlenkowe cena za tonę","rodzaj ogólny","30","0.83","/wapnowanie-gleby/","2","2","0","1"
"Agrobielik 70","310","wapno tlenkowe zastosowanie","rodzaj ogólny","10","","","","","",""
"Agrobielik 70","310","nordkalk wapno sitkówka","producent / zakład","30","1.6","","","","",""
"Agrobielik 70","310","wapno sitkówka","producent / zakład","<10","","","","","",""
"Agrobielik 70","310","nordkalk agrobielik","producent / zakład","<10","","","","","",""
"Agrobielik 70","310","wapno tlenkowe czy węglanowe","porównania","10","","","","","",""
"Agrobielik 70","310","wapno tlenkowe a węglanowe","porównania","10","16.99","","","","",""
"Agrobielik 70","310","wapno palone nawozowe","rodzaj ogólny","<10","","","","","",""
"Agrobielik 70","310","wapno nawozowe odmiana 02","rodzaj ogólny","<10","","","","","",""
"Agrobielik 70","310","agrobielik 70 czy 90","porównania","<10","","","","","",""
"Agrobielik 70","310","agrobielik czy oxyfertil","porównania","<10","","","","","",""
"Agrobielik 70","310","wapno tlenkowe a hydratyzowane","porównania","<10","","","","","",""
"Wapno nawozowe tlenkowe Agrobielik 90","311","wapno trzuskawica","producent / zakład","30","1.18","","","","",""
"Wapno nawozowe tlenkowe Agrobielik 90","311","wapno tlenkowe 90","rodzaj ogólny","20","0.4","","","","",""
"Wapno nawozowe tlenkowe Agrobielik 90","311","wapno tlenkowe 90 cena","rodzaj ogólny","10","","","","","",""
"Wapno nawozowe tlenkowe Agrobielik 90","311","wapno tlenkowe granulowane","rodzaj ogólny","260","0.47","/wapnowanie-gleby/","2.6","8","0","1"
"Wapno nawozowe tlenkowe Agrobielik 90","311","agrobielik 90","nazwa / marka","<10","","","","","",""
"Wapno nawozowe tlenkowe Agrobielik 90","311","wapno agrobielik 90","nazwa / marka","<10","","","","","",""
"Wapno nawozowe tlenkowe Agrobielik 90","311","agrobielik 90 0 3","nazwa / marka","<10","","","","","",""
"Wapno nawozowe tlenkowe Agrobielik 90","311","agrobielik 90 2 8","nazwa / marka","<10","","","","","",""
"Wapno nawozowe tlenkowe Agrobielik 90","311","nordkalk agrobielik 90","nazwa / marka","<10","","","","","",""
"Wapno nawozowe tlenkowe Agrobielik 90","311","agrobielik 90 zastosowanie","nazwa + zastosowanie / dawka / cena","<10","","","","","",""
"Wapno nawozowe tlenkowe Agrobielik 90","311","agrobielik 90 dawkowanie","nazwa + zastosowanie / dawka / cena","<10","","","","","",""
"Wapno nawozowe tlenkowe Agrobielik 90","311","agrobielik 90 cena","nazwa + zastosowanie / dawka / cena","<10","","","","","",""
"Wapno nawozowe tlenkowe Agrobielik 90","311","agrobielik 90 big bag","nazwa + zastosowanie / dawka / cena","<10","","","","","",""
"Wapno nawozowe tlenkowe Agrobielik 90","311","nordkalk wapno sitkówka","producent / zakład","30","1.6","","","","",""
"Wapno nawozowe tlenkowe Agrobielik 90","311","wapno palone 90","rodzaj ogólny","<10","","","","","",""
"Wapno nawozowe tlenkowe Agrobielik 90","311","wapno 90 cao","rodzaj ogólny","<10","","","","","",""
"Wapno nawozowe tlenkowe Agrobielik 90","311","wapno nawozowe odmiana 01","rodzaj ogólny","<10","","","","","",""
"Wapno nawozowe tlenkowe Agrobielik 90","311","wapno tlenkowe kruszone","rodzaj ogólny","<10","","","","","",""
"Wapno nawozowe tlenkowe Agrobielik 90","311","wapno palone kruszone","rodzaj ogólny","<10","","/wp-content/uploads/2023/06/5.pdf","6.5","5","0","2"
"Wapno nawozowe tlenkowe Agrobielik 90","311","wapno do higienizacji osadów","rodzaj ogólny","<10","","","","","",""
"Wapno nawozowe tlenkowe Agrobielik 90","311","wapno do stawu","rodzaj ogólny","390","1.01","","","","",""
"Wapno nawozowe tlenkowe Agrobielik 90","311","wapno palone do stawu","rodzaj ogólny","30","0.33","","","","",""
"Wapno nawozowe tlenkowe Agrobielik 90","311","wapno tlenkowe do stawu","rodzaj ogólny","90","0.49","/wapnowanie-gleby/","2","1","0","1"
"Wapno nawozowe tlenkowe Agrobielik 90","311","wapno tlenkowe dawkowanie","rodzaj ogólny","40","2.18","/wapnowanie-gleby/","9.7","87","0","4"
"Wapno nawozowe tlenkowe Agrobielik 90","311","wapno tlenkowe cena za tonę","rodzaj ogólny","30","0.83","/wapnowanie-gleby/","2","2","0","1"
"Wapno nawozowe tlenkowe Agrobielik 90","311","wapno do oczyszczalni","rodzaj ogólny","<10","","","","","",""
"Wapno nawozowe tlenkowe Agrobielik 90","311","wapno palone do oczyszczalni","rodzaj ogólny","<10","","","","","",""
"Wapno nawozowe tlenkowe Agrobielik 90","311","agrobielik 70 czy 90","porównania","<10","","","","","",""
"Wapno nawozowe tlenkowe Agrobielik 90","311","agrobielik 90 czy oxyfertil","porównania","<10","","","","","",""
"Wapno nawozowe tlenkowe Agrobielik 90","311","wapno tlenkowe 70 czy 90","porównania","<10","","","","","",""
"Wapno hydratyzowane Bielik","309","wapno bielik","nazwa/marka","210","0.8","/wapno-hydratyzowane/bielik/","12.2","112","1","6"
"Wapno hydratyzowane Bielik","309","bielik wapno","nazwa/marka","20","","/wapno-hydratyzowane/bielik/","9.7","24","1","6"
"Wapno hydratyzowane Bielik","309","wapno hydratyzowane bielik","nazwa/marka","50","0.58","/wapno-hydratyzowane/wapno-hydratyzowane-bielik-luz/","16.1","101","3","4"
"Wapno hydratyzowane Bielik","309","wapno budowlane bielik","nazwa/marka","30","","/wapno-hydratyzowane/bielik/","10.6","6","0","2"
"Wapno hydratyzowane Bielik","309","wapno bielik cena","nazwa + cena/forma","40","0.06","/wapno-hydratyzowane/bielik/","4.9","27","0","2"
"Wapno hydratyzowane Bielik","309","wapno bielik 25 kg","nazwa + cena/forma","50","","/wapno-hydratyzowane/bielik/","17.2","6","0","3"
"Wapno hydratyzowane Bielik","309","wapno bielik 25 kg cena","nazwa + cena/forma","30","","/wapno-hydratyzowane/bielik/","21","1","0","1"
"Wapno hydratyzowane Bielik","309","wapno bielik 30 kg","nazwa + cena/forma","10","","","","","",""
"Wapno hydratyzowane Bielik","309","wapno bielik 30 kg cena","nazwa + cena/forma","40","","/wapno-hydratyzowane/bielik/","11.5","42","0","5"
"Wapno hydratyzowane Bielik","309","wapno bielik castorama","nazwa + cena/forma","20","","/wapno-hydratyzowane/wapno-hydratyzowane-bielik-luz/","13","1","0","1"
"Wapno hydratyzowane Bielik","309","wapno hydratyzowane","rodzaj ogólny","2400","0.21","/wapno-hydratyzowane/","39.5","24","0","3"
"Wapno hydratyzowane Bielik","309","wapno hydratyzowane cena","rodzaj ogólny","170","0.29","","","","",""
"Wapno hydratyzowane Bielik","309","wapno hydratyzowane cena za tonę","rodzaj ogólny","30","0.11","/wapno-hydratyzowane/","37.2","4","0","1"
"Wapno hydratyzowane Bielik","309","wapno gaszone","rodzaj ogólny","2900","0.26","","","","",""
"Wapno hydratyzowane Bielik","309","wapno budowlane","rodzaj ogólny","1600","0.22","","","","",""
"Wapno hydratyzowane Bielik","309","wapno budowlane cena","rodzaj ogólny","260","0.12","","","","",""
"Wapno hydratyzowane Bielik","309","wapno do zaprawy","rodzaj ogólny","50","0.31","/wapno-hydratyzowane/","20","1","0","1"
"Wapno hydratyzowane Bielik","309","bielik nordkalk","nazwa/marka","<10","","","","","",""
"Wapno hydratyzowane Bielik","309","wapno bielik opinie","nazwa/marka","<10","","","","","",""
"Wapno hydratyzowane Bielik","309","wapno hydratyzowane 25 kg","rodzaj ogólny","10","0.33","","","","",""
"Wapno hydratyzowane Bielik","309","wapno tynkarskie","rodzaj ogólny","30","0.24","/wapno-hydratyzowane/","37","1","0","1"
"Wapno hydratyzowane Bielik","309","wodorotlenek wapnia","rodzaj ogólny","1900","0.65","","","","",""
"Wapno hydratyzowane Bielik","309","wapno hydratyzowane zastosowanie","nazwa + zastosowanie","140","0.33","/wapnowanie-gleby/","44.7","6","0","1"
"Wapno hydratyzowane Bielik","309","wapno hydratyzowane na pole","nazwa + zastosowanie","10","","/wapnowanie-gleby/","20.5","5","0","2"
"Wapno hydratyzowane Bielik","309","wapno hydratyzowane do stawu","nazwa + zastosowanie","40","0.66","/wapnowanie-gleby/","35","2","0","1"
"Wapno hydratyzowane Bielik","309","wapno cl 90 s","rodzaj ogólny","<10","","","","","",""
"Wapno hydratyzowane Bielik","309","wapno budowlane tarnów","rodzaj ogólny","<10","","/","7.6","217","0","5"
"Wapno hydratyzowane Bielik","309","wapno hydratyzowane do oczyszczalni","nazwa + zastosowanie","<10","","","","","",""
"Wapno hydratyzowane Bielik","309","wapno do uzdatniania wody","nazwa + zastosowanie","<10","","","","","",""
"Wapno hydratyzowane Bielik","309","wapno hydratyzowane dawkowanie","dawka","<10","","","","","",""
"Wapno hydratyzowane Bielik","309","wapno hydratyzowane nordkalk","producent/zakład","<10","","","","","",""
"Wapno hydratyzowane Bielik","309","wapno hydratyzowane trzuskawica","producent/zakład","<10","","","","","",""
"Wapno hydratyzowane Bielik","309","wapno hydratyzowane kujawy","producent/zakład","<10","","","","","",""
"Wapno hydratyzowane Bielik","309","wapno hydratyzowane a palone","porównanie","<10","","","","","",""
"Wapno hydratyzowane Bielik","309","wapno hydratyzowane czy palone","porównanie","<10","","","","","",""
"Dolomit","302","dolomit","nazwa","6600","0.36","","","","",""
"Dolomit","302","dolomit nawóz","nazwa","880","0.54","/wapnowanie-gleby/","6","1","0","1"
"Dolomit","302","dolomit nawozowy","nazwa","10","","","","","",""
"Dolomit","302","wapno dolomitowe","nazwa","720","0.52","","","","",""
"Dolomit","302","dolomit wapno","nazwa","390","0.48","","","","",""
"Dolomit","302","dolomit 25 kg","nazwa","50","1.33","","","","",""
"Dolomit","302","dolomit 10 kg","nazwa","40","0.53","","","","",""
"Dolomit","302","dolomit mielony","nazwa","40","0.21","","","","",""
"Dolomit","302","dolomit na trawnik","nazwa + zastosowanie","590","0.68","","","","",""
"Dolomit","302","dolomit do ogrodu","nazwa + zastosowanie","70","0.31","","","","",""
"Dolomit","302","dolomit na działkę","nazwa + zastosowanie","10","","","","","",""
"Dolomit","302","dolomit dawkowanie","nazwa + dawka","40","","","","","",""
"Dolomit","302","dolomit cena","nazwa + cena","140","0.5","","","","",""
"Dolomit","302","dolomit cena za tonę","nazwa + cena","90","0.52","","","","",""
"Dolomit","302","dolomit nawóz cena","nazwa + cena","10","0.42","","","","",""
"Dolomit","302","dolomit na pole","nazwa + zastosowanie","<10","","","","","",""
"Dolomit","302","dolomit do sadu","nazwa + zastosowanie","<10","","","","","",""
"Dolomit","302","dolomit na warzywa","nazwa + zastosowanie","10","","","","","",""
"Dolomit","302","dolomit rolnictwo ekologiczne","nazwa + zastosowanie","<10","","","","","",""
"Dolomit","302","dolomit ile na hektar","nazwa + dawka","<10","","","","","",""
"Dolomit","302","wapno dolomitowe cena","nazwa + cena","50","0.85","","","","",""
"Dolomit","302","siarkopol","producent / zakład","1300","0.8","","","","",""
"Dolomit","302","nawóz wapniowo magnezowy","rodzaj ogólny","260","0.83","","","","",""
"Dolomit","302","wapno magnezowe","rodzaj ogólny","1900","0.6","/wapno-nawozowe-rolnictwo/weglanowe-magnez-granulowane/","48.9","27","0","2"
"Dolomit","302","wapno z magnezem","rodzaj ogólny","210","0.32","/wapnowanie-gleby/","2","2","0","1"
"Dolomit","302","dolomit czy wapno","porównania","20","","","","","",""
"Dolomit","302","dolomit luzem","nazwa + cena","<10","","","","","",""
"Dolomit","302","siarkopol dolomit","producent / zakład","<10","","","","","",""
"Dolomit","302","dolomit tarnobrzeg","producent / zakład","<10","","","","","",""
"Dolomit","302","dolomit a wapno magnezowe","porównania","<10","","","","","",""
"Dolomit","302","dolomit czy kreda","porównania","<10","","","","","",""
"Kreda czarna (jeziorna)","303","czarna kreda","nazwa","720","0.51","/wapnowanie-gleby/","5.5","3","0","2"
"Kreda czarna (jeziorna)","303","kreda czarna","nazwa","70","0.53","","","","",""
